note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
34,60,1/2,15/2,23,3,match,1,0,True
33,53,1/2,15/2,23,2,match,0,0,True
35,53,1/16,8,24,3,match,1,0,False
36,60,1/16,8,24,2,match,0,0,False
37,59,1/16,129/16,25,3,ornamentation,0,0,False
38,60,1/16,65/8,26,3,ornamentation,0,0,False
39,62,1/16,131/16,27,3,ornamentation,0,0,False
40,60,1/8,33/4,28,3,match,0,0,True
51,55,1/4,37/4,36,3,match,1,1,True
52,62,1/4,37/4,36,2,match,0,1,True
53,52,1/16,19/2,37,3,match,0,1,False
54,62,1/16,153/16,38,2,ornamentation,0,1,False
55,61,1/16,77/8,39,2,match,0,1,False
56,59,1/16,155/16,40,2,ornamentation,0,1,False
57,62,1/8,39/4,41,2,adaptation,0,1,True
59,50,1/2,10,43,3,match,2,2,True
60,62,1/2,10,43,2,match,1,2,True
61,65,1/2,10,43,0,match,0,2,True
62,50,1/16,21/2,44,3,repetition,2,2,False
63,62,1/16,21/2,44,2,repetition,1,2,False
64,65,1/16,21/2,44,1,match,0,2,False
65,64,1/16,169/16,45,1,ornamentation,0,2,False
66,65,1/16,85/8,46,1,ornamentation,0,2,False
67,67,1/16,171/16,47,1,ornamentation,0,2,False
68,65,1/8,43/4,48,1,repetition,0,2,True
67,67,1/16,171/16,47,1,ornamentation,0,3,True
68,65,1/8,43/4,48,1,repetition,0,3,False
69,67,1/8,87/8,49,1,ornamentation,0,3,False
70,50,1/4,11,50,3,repetition,2,3,True
71,65,1/4,11,50,1,repetition,1,3,True
72,69,1/4,11,50,0,match,0,3,True
77,50,1/4,12,53,3,repetition,2,4,True
78,62,1/4,12,53,1,match,1,4,True
79,65,1/4,12,53,0,match,0,4,True
80,67,1/16,49/4,54,1,ornamentation,0,4,False
81,65,1/16,197/16,55,1,ornamentation,0,4,False
82,64,1/16,99/8,56,1,ornamentation,0,4,False
83,65,1/16,199/16,57,1,ornamentation,0,4,False
84,50,1/4,25/2,58,3,repetition,2,4,True
85,62,1/4,25/2,58,2,repetition,1,4,True
86,65,1/4,25/2,58,1,match,0,4,True
194,64,1/4,30,119,2,match,1,5,True
195,67,1/4,30,119,0,match,0,5,True
196,64,1/8,121/4,120,2,ornamentation,0,5,False
197,62,1/8,243/8,121,2,match,0,5,False
198,60,1/4,61/2,122,2,match,1,5,True
199,67,1/4,61/2,122,0,match,0,5,True
201,57,1/4,31,124,2,match,1,6,True
202,69,1/4,31,124,0,match,0,6,True
